name,distance,address,telephone,rating,review_counts,closed
Taste Of Tandooree And Sweets,873.9756569857208,"1330 Gerrard Street E, Toronto, ON M4L 1Z1, Canada",+1 416-519-4510,3.0,10,False
Nitya Restaurant,740.1091317098093,"1433 Gerrard St E, Toronto, ON M4L 1Z6, Canada",+1 416-469-1500,3.5,4,False
India Paan,741.7930306023268,"1427 Gerrard St E, Toronto, ON M4L 1Z7, Canada",+1 416-461-8914,2.0,4,False
Baldev Paan Cold Drink House,764.8034076974823,"1399 Gerrard Street E, Toronto, ON M4L 1Z5, Canada",+1 416-463-7226,3.0,3,False
Lahore BBQ Paan Center,738.2674389967392,"1435 Gerrard Street E, Toronto, ON M4L 1Z7, Canada",+1 416-462-3293,3.0,15,False
Tandoor,793.171681109448,"1430 Gerrard St E, Toronto, ON M4L 1Z6, Canada",+1 416-778-0033,1.0,4,False
Maha's,1066.4121359855728,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,4.0,598,False
Bindia Indian Bistro,631.8421189716192,"16 Market St., Toronto, ON M5E 1M6, Canada",+1 416-863-0000,4.0,207,False
Khazana - By Chef Sanjeev Kapoor,349.6416354673152,"261 Yonge Street, Toronto, ON M5B 1N8, Canada",+1 905-789-8738,3.5,20,False
Little India Restaurant,1036.3167374107504,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Spice66,558.415038102229,"335 Yonge And Dundas, Toronto, ON M5B 2L3, Canada",+1 416-816-2766,4.0,3,False
Bombay Palace,444.9675592539294,"71 Jarvis Street, Toronto, ON M5C 2H2, Canada",+1 416-368-8048,3.5,59,False
Byblos,1114.7231871428155,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",+1 647-660-0909,4.5,910,False
The Host Fine Indian Cuisine,853.1989755408572,"87 Elm Street, Toronto, ON M5G 0A8, Canada",+1 416-962-4678,3.5,131,False
King Place,692.8172167145015,"236 Sherbourne Street, Unit 1, Toronto, ON M5A 2R7, Canada",+1 647-352-0786,3.5,44,False
Benares Cucina Indian,610.1115248903341,"001 – 49 Front Street E, Toronto, ON M5E 1B3, Canada",+1 416-955-9000,4.0,9,False
T|Bar,776.402088040759,"Chelsea Hotel, 33 Gerrard Street W, Toronto, ON M5G 1Z4, Canada",+1 416-585-4961,3.5,13,False
Touch,306.79227200668663,"1 Adelaide St E, Toronto, ON M5C 1J4, Canada",+1 416-364-4203,3.0,20,False
Matagali Restaurant,779.356470568429,"69 Elm Street, Toronto, ON M5G 1H2, Canada",+1 416-599-9994,3.5,57,False
Laziz Curry Kitchen,423.1214324834535,"151 Dundas St E, Toronto, ON M5B 1E4, Canada",+1 416-762-9440,3.5,2,False
Curry Kitchen + Falafel,387.96727815411805,"139 Dundas Street E, Toronto, ON M5B 2N6, Canada",+1 647-352-8779,5.0,1,False
The Bombay,1051.1570424959612,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Charcoal Biryani,610.3416378707287,"199 Bay Street, Commerce Court, Toronto, ON M5L 0A2, Canada",+1 647-294-1006,3.0,1,False
PLANTA Toronto,925.6509477888619,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
Chaska,1029.674689622212,"218 Adelaide St W, Toronto, ON M5H 1W7, Canada",,4.0,12,False
Indian Biriyani House,812.5668368758988,"181 Dundas St W, Toronto, ON M5G 1C7, Canada",+1 416-340-1254,2.5,71,False
Stratus Restaurant,793.7466697568217,"79 Wellington Street W, TD South Tower, 36th Fl., Toronto, ON M5K 1J5, Canada",+1 416-865-1924,5.0,1,False
Indian Roti House,79.4495811802111,"471 Church Street, Toronto, ON M4Y 2C5, Canada",+1 647-987-7684,3.5,43,False
Naan & Kabob,751.442285536741,"691 Yonge Street, Toronto, ON M4Y 2B2, Canada",+1 416-972-6623,4.0,149,False
Khazana - By Chef Sanjeev Kapoor,946.3924175269394,"261 Yonge Street, Toronto, ON M5B 1N8, Canada",+1 905-789-8738,3.5,20,False
Spice66,725.0934525994379,"335 Yonge And Dundas, Toronto, ON M5B 2L3, Canada",+1 416-816-2766,4.0,3,False
Globol Restaurants,170.26575603666862,"60 Carlton Street, Loblaws Maple Leaf Gardens, Toronto, ON M5B 1J2, Canada",,5.0,1,False
Colaba Junction,522.0499252036882,"801 Bay Street, Unit 3 & 4, Toronto, ON M5S 1Y9, Canada",+1 416-646-8800,3.0,81,False
Kothur Indian Cuisine,639.1446733727211,"649 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-926-0953,3.5,101,False
Utsav,1183.5110485619548,"69 Yorkville Ave, Toronto, ON M5R 1B8, Canada",+1 416-961-8349,4.0,137,False
T|Bar,632.6398787403637,"Chelsea Hotel, 33 Gerrard Street W, Toronto, ON M5G 1Z4, Canada",+1 416-585-4961,3.5,13,False
The Host Fine Indian Cuisine,912.2986304979418,"87 Elm Street, Toronto, ON M5G 0A8, Canada",+1 416-962-4678,3.5,131,False
Suksi Biryani House,774.5237066556781,"15 Hayden Street, Toronto, ON M4Y 2P2, Canada",+1 416-515-1957,3.5,74,False
Suruthi's Take Out & Catering,997.0928724146588,"585 Parliament Street, Toronto, ON M4X 1P9, Canada",+1 416-925-1939,4.0,12,False
Matagali Restaurant,827.149396536864,"69 Elm Street, Toronto, ON M5G 1H2, Canada",+1 416-599-9994,3.5,57,False
Maezo Indian Cuisine,1242.4228195246935,"102-250 Dundas Street W, Toronto, ON M5T 2Z6, Canada",+1 416-941-0000,4.5,12,False
Poppadum,1148.8608147742232,"874 Yonge Street, Toronto, ON M4W 2J1, Canada",+1 647-892-2907,5.0,6,False
Butter Chicken Factory,966.5070120048,"560 Parliament Street, Toronto, ON M4X 1P8, Canada",+1 416-964-7583,3.5,161,False
Kathmandu Restaurant,1029.0873628996005,"12 Cumberland Street, Toronto, ON M4W 1J5, Canada",+1 647-345-4214,3.5,68,False
King Place,959.9412133831545,"236 Sherbourne Street, Unit 1, Toronto, ON M5A 2R7, Canada",+1 647-352-0786,3.5,44,False
Oh Bombay,383.6161656374015,"21 Grenville Street, Toronto, ON M4Y 1A1, Canada",+1 647-812-6208,3.5,2,False
Maja Indian Cuisine,909.0939549017097,"345 Bloor Street E, Toronto, ON M4W 3J6, Canada",+1 647-350-7876,4.0,34,False
Rikki Tikki,1072.414516274906,"209 Augusta Avenue, Toronto, ON M5T 2L4, Canada",+1 416-792-3229,5.0,27,False
Little India Restaurant,841.1589019537321,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Maezo Indian Cuisine,326.58586977286535,"102-250 Dundas Street W, Toronto, ON M5T 2Z6, Canada",+1 416-941-0000,4.5,12,False
Khazana - By Chef Sanjeev Kapoor,782.7417728952981,"261 Yonge Street, Toronto, ON M5B 1N8, Canada",+1 905-789-8738,3.5,20,False
The Host Fine Indian Cuisine,267.7351061596067,"87 Elm Street, Toronto, ON M5G 0A8, Canada",+1 416-962-4678,3.5,131,False
Matagali Restaurant,356.6839032079849,"69 Elm Street, Toronto, ON M5G 1H2, Canada",+1 416-599-9994,3.5,57,False
Colaba Junction,466.8959221990853,"801 Bay Street, Unit 3 & 4, Toronto, ON M5S 1Y9, Canada",+1 416-646-8800,3.0,81,False
Spice66,664.0666904171528,"335 Yonge And Dundas, Toronto, ON M5B 2L3, Canada",+1 416-816-2766,4.0,3,False
T|Bar,487.9991732900904,"Chelsea Hotel, 33 Gerrard Street W, Toronto, ON M5G 1Z4, Canada",+1 416-585-4961,3.5,13,False
Indian Biriyani House,375.24775558237343,"181 Dundas St W, Toronto, ON M5G 1C7, Canada",+1 416-340-1254,2.5,71,False
The Bombay,849.0074119143621,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Punjabi Chaap Corner,437.275426609338,"38 Elm Street, Unit 06A, Toronto, ON M5G 2K5, Canada",+1 416-598-3787,4.0,5,False
PLANTA Toronto,784.8661377144938,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
Sizzler Kabab,826.0469784533798,"381 Spadina Avenue, Toronto, ON M5T 2G6, Canada",+1 416-551-7786,3.5,51,False
Indian Roti House,1031.4349558382046,"471 Church Street, Toronto, ON M4Y 2C5, Canada",+1 647-987-7684,3.5,43,False
Veda Healthy IndianTakeout,520.0710352732092,"Sandford Fleming Building, 10 King's College Rd, Toronto, ON M5S, Canada",+1 416-961-9797,3.0,22,False
Globol Restaurants,870.3469619734786,"60 Carlton Street, Loblaws Maple Leaf Gardens, Toronto, ON M5B 1J2, Canada",,5.0,1,False
Multani Rollz & Bowlz,549.2945536690925,"384 Yonge Street, Unit 54, Toronto, ON M5G 2K2, Canada",,3.0,1,False
Ali Baba's Middle Eastern Cuisine,359.4253570350036,"197 Dundas Street W, Toronto, ON M5G 1C8, Canada",+1 416-597-0202,3.0,50,False
Oh Bombay,597.8519440877794,"21 Grenville Street, Toronto, ON M4Y 1A1, Canada",+1 647-812-6208,3.5,2,False
Khazana - By Chef Sanjeev Kapoor,271.1818595540594,"261 Yonge Street, Toronto, ON M5B 1N8, Canada",+1 905-789-8738,3.5,20,False
Little India Restaurant,878.8749698561918,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Spice66,154.03898544655056,"335 Yonge And Dundas, Toronto, ON M5B 2L3, Canada",+1 416-816-2766,4.0,3,False
Bindia Indian Bistro,1242.8930455145714,"16 Market St., Toronto, ON M5E 1M6, Canada",+1 416-863-0000,4.0,207,False
The Host Fine Indian Cuisine,276.5097622821432,"87 Elm Street, Toronto, ON M5G 0A8, Canada",+1 416-962-4678,3.5,131,False
Maezo Indian Cuisine,596.0809367121858,"102-250 Dundas Street W, Toronto, ON M5T 2Z6, Canada",+1 416-941-0000,4.5,12,False
T|Bar,192.10302619653132,"Chelsea Hotel, 33 Gerrard Street W, Toronto, ON M5G 1Z4, Canada",+1 416-585-4961,3.5,13,False
Matagali Restaurant,173.1504906539393,"69 Elm Street, Toronto, ON M5G 1H2, Canada",+1 416-599-9994,3.5,57,False
Indian Biriyani House,361.4008631794844,"181 Dundas St W, Toronto, ON M5G 1C7, Canada",+1 416-340-1254,2.5,71,False
Colaba Junction,544.6151360499671,"801 Bay Street, Unit 3 & 4, Toronto, ON M5S 1Y9, Canada",+1 416-646-8800,3.0,81,False
The Bombay,892.8477944126017,"259 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-519-2550,3.0,9,False
Punjabi Chaap Corner,122.87618296845265,"38 Elm Street, Unit 06A, Toronto, ON M5G 2K5, Canada",+1 416-598-3787,4.0,5,False
Indian Roti House,879.8599349920703,"471 Church Street, Toronto, ON M4Y 2C5, Canada",+1 647-987-7684,3.5,43,False
PLANTA Toronto,772.8216792801259,"180 Queen Street W, Toronto, ON M5V 3X3, Canada",+1 647-812-1210,4.0,168,False
Bombay Palace,1063.8286099628588,"71 Jarvis Street, Toronto, ON M5C 2H2, Canada",+1 416-368-8048,3.5,59,False
Globol Restaurants,639.5984206653429,"60 Carlton Street, Loblaws Maple Leaf Gardens, Toronto, ON M5B 1J2, Canada",,5.0,1,False
Multani Rollz & Bowlz,307.57720326166844,"384 Yonge Street, Unit 54, Toronto, ON M5G 2K2, Canada",,3.0,1,False
Chaska,994.8663440329412,"218 Adelaide St W, Toronto, ON M5H 1W7, Canada",,4.0,12,False
King Place,933.9832037607945,"236 Sherbourne Street, Unit 1, Toronto, ON M5A 2R7, Canada",+1 647-352-0786,3.5,44,False
Curry Kitchen + Falafel,561.0196924089096,"139 Dundas Street E, Toronto, ON M5B 2N6, Canada",+1 647-352-8779,5.0,1,False
Banjara Indian Cuisine,589.2645667905509,"796 Bloor Street W, Toronto, ON M6G 1L7, Canada",+1 416-963-9360,3.5,446,False
The Chulo,639.5457922896475,"394 Bloor Street, Unit 102, Toronto, ON M5S 1X4, Canada",+1 416-925-9777,5.0,1,False
Madras Masala,587.8649978951598,"796 Bloor Street W, Suite 1, Toronto, ON M6G 1L7, Canada",+1 647-342-4359,4.0,161,False
Indian Desire,670.3530751283201,"469 Bloor Street W, Toronto, ON M5S 1X9, Canada",+1 416-519-0604,4.5,17,False
Gully,473.44917068559425,"521 Bloor Street W, Toronto, ON M5S 1Y4, Canada",+1 416-516-9099,5.0,1,False
My Roti Place,656.4733261403966,"810 Bloor Street W, Toronto, ON M6G 1L9, Canada",+1 416-588-0202,5.0,1,False
Matha Roti - East Indian Cuisine,733.1750046233874,"141 Harbord Street, Toronto, ON M5S 2M2, Canada",+1 416-966-6955,4.0,34,False
Ghazale Restaurant,337.7256169580958,"504 Bloor Street W, Toronto, ON M5S 1Y3, Canada",+1 416-537-4417,3.5,98,False
Naans & More,310.4392288877653,"795 Bathurst St, Toronto, ON M5S 1Z5, Canada",,5.0,1,False
Bombay Roti,440.2439666668184,"529 Bloor Street W, Toronto, ON M5S 1Y5, Canada",+1 647-352-7684,3.5,21,False
Masala Guys,690.2748907563544,"384 Bloor Street W, Toronto, ON M5S 1X2, Canada",+1 416-901-3988,4.5,7,False
The Cottage Cheese,1326.410967188762,"64 Oxford Street, Toronto, ON M5T 1P1, Canada",+1 647-368-8633,4.5,21,False
Annapurna Vegetarian Restaurant,928.6942785897156,"1085 Bathurst Street, Toronto, ON M5R 3G8, Canada",+1 416-537-8513,4.0,39,False
The Pomegranate Restaurant,1061.7426174292132,"420 College Street, Toronto, ON M5T 1T3, Canada",+1 416-921-7557,4.0,197,False
Thindi,1105.8383517596678,"400 College Street, Toronto, ON M5T 1S7, Canada",,4.0,6,False
Hawker,1340.394621628238,"291 Augusta Ave, Toronto, ON M5T 1N9, Canada",+1 416-628-1905,5.0,38,False
Spicy Grill Indo Pak Cuisine,1340.394621628238,"291 Augusta Ave, Toronto, ON M5T 3A9, Canada",+1 416-968-7111,2.5,7,False
Fresh Kitchen + Juice Bar,949.2838642189163,"326 Bloor Street W, Toronto, ON M5S 1W5, Canada",+1 416-599-4442,3.5,336,False
By The Way,599.3369207126959,"400 Bloor Street W, Toronto, ON M5S 1X5, Canada",+1 416-967-4295,3.5,96,False
Bhoj Indian Cuisine,300.8502117479106,"21 Davenport Road, Toronto, ON M5R 1H2, Canada",+1 416-961-8351,4.0,73,False
Utsav,521.5381282331556,"69 Yorkville Ave, Toronto, ON M5R 1B8, Canada",+1 416-961-8349,4.0,137,False
Poppadum,345.3248750765377,"874 Yonge Street, Toronto, ON M4W 2J1, Canada",+1 647-892-2907,5.0,6,False
Kathmandu Restaurant,490.91038182093905,"12 Cumberland Street, Toronto, ON M4W 1J5, Canada",+1 647-345-4214,3.5,68,False
Naan & Kabob,750.9222774424518,"691 Yonge Street, Toronto, ON M4Y 2B2, Canada",+1 416-972-6623,4.0,149,False
Suksi Biryani House,717.5123734771203,"15 Hayden Street, Toronto, ON M4Y 2P2, Canada",+1 416-515-1957,3.5,74,False
Kothur Indian Cuisine,876.5656579631511,"649 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-926-0953,3.5,101,False
Govinda's,694.5040228769386,"243 Avenue Road, Toronto, ON M5R 2J6, Canada",+1 888-218-1040,4.0,43,False
Adrak,636.1853862231294,"138 Avenue Road, Toronto, ON M5R 2H6, Canada",+1 416-413-0777,3.5,11,False
PLANTA Yorkville,588.9538905913009,"1221 Bay Street, Toronto, ON M5R 3P5, Canada",+1 647-812-1221,4.0,508,False
Maja Indian Cuisine,911.8673882204943,"345 Bloor Street E, Toronto, ON M4W 3J6, Canada",+1 647-350-7876,4.0,34,False
Tandori,578.9767276373233,"Hudson Bay Centre, 2 Bloor Street E, Toronto, ON M4W 3T3, Canada",+1 416-580-9311,3.0,7,False
M Biryani House,574.8537471579193,"F03-2 Bloor Street W, Toronto, ON M5T 1G1, Canada",+1 647-340-4180,1.0,1,False
Exotic Tandoori Restaurant,794.1776146636352,"11 Charles Street W, Toronto, ON M4Y 1R4, Canada",+1 416-964-1616,3.0,2,False
Ceylon Spice by Esther,571.956537581922,"2 Bloor St W, L35, Toronto, ON M5T 1G1, Canada",,2.0,5,False
Butter Chicken Roti,1008.4298199126223,"646 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-783-7634,3.5,20,False
Bhoj Indian Cuisine,626.8192676787243,"21 Davenport Road, Toronto, ON M5R 1H2, Canada",+1 416-961-8351,4.0,73,False
Utsav,612.0833755623308,"69 Yorkville Ave, Toronto, ON M5R 1B8, Canada",+1 416-961-8349,4.0,137,False
The Chulo,1315.0205492702842,"394 Bloor Street, Unit 102, Toronto, ON M5S 1X4, Canada",+1 416-925-9777,5.0,1,False
Adrak,69.38777385609869,"138 Avenue Road, Toronto, ON M5R 2H6, Canada",+1 416-413-0777,3.5,11,False
Indian Desire,1309.3735712441967,"469 Bloor Street W, Toronto, ON M5S 1X9, Canada",+1 416-519-0604,4.5,17,False
Govinda's,221.76537693097205,"243 Avenue Road, Toronto, ON M5R 2J6, Canada",+1 888-218-1040,4.0,43,False
Poppadum,729.6849592600925,"874 Yonge Street, Toronto, ON M4W 2J1, Canada",+1 647-892-2907,5.0,6,False
Naan & Kabob,1056.0199472183592,"691 Yonge Street, Toronto, ON M4Y 2B2, Canada",+1 416-972-6623,4.0,149,False
Kathmandu Restaurant,794.4078500251252,"12 Cumberland Street, Toronto, ON M4W 1J5, Canada",+1 647-345-4214,3.5,68,False
Kothur Indian Cuisine,1157.6804424762474,"649 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-926-0953,3.5,101,False
Roti Cuisine of India,974.1643223715128,"308 Dupont Street, Toronto, ON M5R 1W1, Canada",+1 416-968-9366,4.5,122,False
Suksi Biryani House,1044.2824766147307,"15 Hayden Street, Toronto, ON M4Y 2P2, Canada",+1 416-515-1957,3.5,74,False
PLANTA Yorkville,763.5503813344125,"1221 Bay Street, Toronto, ON M5R 3P5, Canada",+1 647-812-1221,4.0,508,False
Masala Guys,1278.6163777366012,"384 Bloor Street W, Toronto, ON M5S 1X2, Canada",+1 416-901-3988,4.5,7,False
Exotic Tandoori Restaurant,1046.4583122793151,"11 Charles Street W, Toronto, ON M4Y 1R4, Canada",+1 416-964-1616,3.0,2,False
M Biryani House,826.1626078054944,"F03-2 Bloor Street W, Toronto, ON M5T 1G1, Canada",+1 647-340-4180,1.0,1,False
Ceylon Spice by Esther,880.7403688965042,"2 Bloor St W, L35, Toronto, ON M5T 1G1, Canada",,2.0,5,False
Tandori,937.3385549883124,"Hudson Bay Centre, 2 Bloor Street E, Toronto, ON M4W 3T3, Canada",+1 416-580-9311,3.0,7,False
Butter Chicken Roti,1261.454824203064,"646 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-783-7634,3.5,20,False
Fresh Kitchen + Juice Bar,1071.2461115755423,"326 Bloor Street W, Toronto, ON M5S 1W5, Canada",+1 416-599-4442,3.5,336,False
Bhoj Indian Cuisine,141.9073750813183,"21 Davenport Road, Toronto, ON M5R 1H2, Canada",+1 416-961-8351,4.0,73,False
Utsav,274.002008766175,"69 Yorkville Ave, Toronto, ON M5R 1B8, Canada",+1 416-961-8349,4.0,137,False
Poppadum,58.72760049955426,"874 Yonge Street, Toronto, ON M4W 2J1, Canada",+1 647-892-2907,5.0,6,False
Kathmandu Restaurant,92.39693807264607,"12 Cumberland Street, Toronto, ON M4W 1J5, Canada",+1 647-345-4214,3.5,68,False
Naan & Kabob,350.64379253596206,"691 Yonge Street, Toronto, ON M4Y 2B2, Canada",+1 416-972-6623,4.0,149,False
Suksi Biryani House,321.4386247755241,"15 Hayden Street, Toronto, ON M4Y 2P2, Canada",+1 416-515-1957,3.5,74,False
Kothur Indian Cuisine,475.03551687831947,"649 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-926-0953,3.5,101,False
PLANTA Yorkville,235.004863585266,"1221 Bay Street, Toronto, ON M5R 3P5, Canada",+1 647-812-1221,4.0,508,False
Exotic Tandoori Restaurant,390.27251587407943,"11 Charles Street W, Toronto, ON M4Y 1R4, Canada",+1 416-964-1616,3.0,2,False
Maja Indian Cuisine,728.5692787799603,"345 Bloor Street E, Toronto, ON M4W 3J6, Canada",+1 647-350-7876,4.0,34,False
M Biryani House,182.53528715660673,"F03-2 Bloor Street W, Toronto, ON M5T 1G1, Canada",+1 647-340-4180,1.0,1,False
Tandori,188.6752154159894,"Hudson Bay Centre, 2 Bloor Street E, Toronto, ON M4W 3T3, Canada",+1 416-580-9311,3.0,7,False
Indian Roti House,1030.868798178516,"471 Church Street, Toronto, ON M4Y 2C5, Canada",+1 647-987-7684,3.5,43,False
Ceylon Spice by Esther,168.03174298707106,"2 Bloor St W, L35, Toronto, ON M5T 1G1, Canada",,2.0,5,False
Adrak,763.342038862636,"138 Avenue Road, Toronto, ON M5R 2H6, Canada",+1 416-413-0777,3.5,11,False
Govinda's,939.1816921918837,"243 Avenue Road, Toronto, ON M5R 2J6, Canada",+1 888-218-1040,4.0,43,False
Butter Chicken Roti,605.5116930364213,"646 Yonge Street, Toronto, ON M4Y 2A6, Canada",+1 416-783-7634,3.5,20,False
The Halal Guys,803.1168467700055,"563 Yonge St, Toronto, ON M4Y 1Z2, Canada",+1 416-901-1011,3.0,269,False
Wrap & Grab,704.0458085312521,"618 Yonge Street, Toronto, ON M4Y 1Z3, Canada",+1 416-598-0505,2.0,7,False
Indian Spice Room,429.59313798329487,"717 Queen Street E, Toronto, ON M4M 1H1, Canada",+1 647-349-1009,4.0,9,False
My Roti Place,815.3275026976182,"948 Queen Street E, Toronto, ON M4M 1J7, Canada",+1 416-778-4448,4.0,13,False
Tabule Middle Eastern Cuisine,478.85747706141854,"810 Queen Street  E, Toronto, ON M4M 1H7, Canada",+1 416-465-2500,4.0,202,False
Bindia Indian Bistro,557.5975087755012,"16 Market St., Toronto, ON M5E 1M6, Canada",+1 416-863-0000,4.0,207,False
Little India Restaurant,988.5479636568243,"255 Queen Street W, Toronto, ON M5V 1Z4, Canada",+1 416-205-9836,3.5,435,False
Indian Roti House,981.0092451974143,"256 Queens Quay W, Toronto, ON M5J 1B5, Canada",+1 416-260-6666,4.0,231,False
Aroma Fine Indian Cuisine,958.3439052691692,"287 King St W, Toronto, ON M5V 1J5, Canada",+1 416-971-7242,3.5,224,False
Byblos,832.2989915434127,"11 Duncan Street, Toronto, ON M5V 3M2, Canada",+1 647-660-0909,4.5,910,False
Benares Cucina Indian,363.9615334392612,"001 – 49 Front Street E, Toronto, ON M5E 1B3, Canada",+1 416-955-9000,4.0,9,False
Charcoal Biryani,253.74497340840995,"199 Bay Street, Commerce Court, Toronto, ON M5L 0A2, Canada",+1 647-294-1006,3.0,1,False
Stratus Restaurant,277.9917504685133,"79 Wellington Street W, TD South Tower, 36th Fl., Toronto, ON M5K 1J5, Canada",+1 416-865-1924,5.0,1,False
Bombay Palace,732.9376998963285,"71 Jarvis Street, Toronto, ON M5C 2H2, Canada",+1 416-368-8048,3.5,59,False
My Dosa Place,521.0874411804722,"12 Queens Quay W, Toronto, ON M5J 2V7, Canada",+1 647-350-3672,3.0,20,False
My Roti Place,523.097172087611,"12 Queens Quay W, Toronto, ON M5J 2V7, Canada",+1 647-348-7684,3.5,25,False
